age,alk,abn
152,C21,0
394,C21,0
972,C21,0
1231,C21,0.891909385113269
1599,C21,0
1600,C21,1.77236887409618
2063,C21,0.324109742441209
3757,C21,1.61812379110251
4729,C21,4.89309354947653
6441,C21,0.29350197535232
8633,C21,0.33919810644097
9107,C21,0
9539,C21,0.308939152596368
10062,C21,0.402568127590104
10236,C21,0.290986041414316
10299,C21,0
10863,C21,0
11425,C21,0.412780333525014
11633,C21,0.412676720075401
11779,C21,0.407680639823497
11809,C21,0
12343,C21,0.285497996565541
12923,C21,0
13536,C21,0.485480086632174
13775,C21,0.164347435753563
15298,C21,0.480055210489993
15401,C21,0.675387476751395
17187,C21,0.062584907416023
152,C23,0.217917355371901
394,C23,0.880808870566494
972,C23,0.674011959263758
1231,C23,2.5789644012945
1599,C23,5.52220855582888
1600,C23,5.83264661999312
2063,C23,0.684406494960806
3757,C23,3.90253384912959
4729,C23,11.6713497692221
6441,C23,1.32075888908544
8633,C23,0.667120929565342
9107,C23,0
9539,C23,1.18927046830201
10062,C23,0.846446063041567
10236,C23,0.908063678837169
10299,C23,0.530901933541739
10863,C23,0
11425,C23,1.1951744297489
11633,C23,0.962912346842601
11779,C23,1.66835461835462
11809,C23,2.15773696231443
12343,C23,1.61550085861477
12923,C23,0
13536,C23,0.725318854530141
13775,C23,0.548580406239479
15298,C23,0.914699792960663
15401,C23,1.82789832610043
17187,C23,0.146397444248007
152,C25,0
394,C25,3.62824294548298
972,C25,1.43505559189012
1231,C25,1.48300970873786
1599,C25,2.92172856542869
1600,C25,2.64094169631585
2063,C25,1.10606382978723
3757,C25,4.89695357833656
4729,C25,9.55075424969042
6441,C25,4.48522908190342
8633,C25,1.70303758427772
9107,C25,4.36210240496509
9539,C25,6.35116916215355
10062,C25,2.80015697601406
10236,C25,3.2102079367826
10299,C25,2.56095866620354
10863,C25,6.58700696055684
11425,C25,2.8894623346751
11633,C25,2.06534872761546
11779,C25,5.34096482667911
11809,C25,6.29720213170917
12343,C25,5.47552661705781
12923,C25,0.964270340077486
13536,C25,3.30068433401516
13775,C25,2.35413533834586
15298,C25,4.42023809523809
15401,C25,10.0872907625542
17187,C25,0.554114326478707
152,C27,3.31898347107438
394,C27,19.2629305131682
972,C27,15.9113239278707
1231,C27,9.4775466516747
1599,C27,17.3675118749861
1600,C27,11.4704098296185
2063,C27,5.23965949393675
3757,C27,43.9918539104605
4729,C27,33.4697118090735
6441,C27,60.6641016569373
8633,C27,19.5182136114325
9107,C27,19.9776958882855
9539,C27,61.2412488383819
10062,C27,27.9523843158828
10236,C27,29.5424943761897
10299,C27,25.4495206973833
10863,C27,38.9795823665893
11425,C27,12.96885662258
11633,C27,12.8597146799203
11779,C27,38.3512495226781
11809,C27,26.4534640274077
12343,C27,46.1225559387026
12923,C27,9.39894532931554
13536,C27,17.4422917409768
13775,C27,13.5070923577601
15298,C27,24.4017253278123
15401,C27,47.8699502710689
17187,C27,5.00329288472128
152,C29,40.1604666808408
394,C29,164.173044641343
972,C29,309.145206951322
1231,C29,197.185821783035
1599,C29,151.745758471235
1600,C29,59.048602788008
2063,C29,76.1177771230073
3757,C29,577.522470380413
4729,C29,205.329433568362
6441,C29,274.318134913615
8633,C29,435.315309636797
9107,C29,46.4540341349884
9539,C29,458.960467521952
10062,C29,209.354411756229
10236,C29,377.596125338871
10299,C29,25.4495206973833
10863,C29,124.881902552204
11425,C29,50.9149702894384
11633,C29,144.335408247098
11779,C29,895.640218083075
11809,C29,56.1467929196803
12343,C29,315.692242836459
12923,C29,61.2224868230638
13536,C29,275.712427608852
13775,C29,63.5004488834025
15298,C29,81.6431362555216
15401,C29,233.799612193481
17187,C29,25.3736281028397
152,C31,38.7622510586057
394,C31,22.8731652155322
972,C31,19.6778613472858
1231,C31,31.9036932125327
1599,C31,71.8795698021639
1600,C31,49.4668092745221
2063,C31,31.9884270271859
3757,C31,55.5181509276866
4729,C31,96.5993169103007
6441,C31,58.8074178902058
8633,C31,16.9530728897719
9107,C31,8.85512024825446
9539,C31,22.0123403220618
10062,C31,27.7433476398741
10236,C31,47.7076685701102
10299,C31,25.4495206973833
10863,C31,65.7538283062645
11425,C31,11.4391412689285
11633,C31,19.0248780642045
11779,C31,76.6725327761042
11809,C31,14.6673962695089
12343,C31,243.581594656584
12923,C31,85.6664466212385
13536,C31,91.7920011947249
13775,C31,14.0194029850746
15298,C31,164.815374728538
15401,C31,160.390349685402
17187,C31,17.4439941487703
152,C33,13.6785702479339
394,C33,11.153516596773
972,C33,7.52340465290106
1231,C33,9.40501618122977
1599,C33,35.0542089158217
1600,C33,22.7846264202915
2063,C33,22.4445996640538
3757,C33,11.2542263056093
4729,C33,39.5331701001914
6441,C33,5.57491597381921
8633,C33,1.69270190790417
9107,C33,0
9539,C33,4.37938196877987
10062,C33,4.65585834484491
10236,C33,9.57211455269078
10299,C33,6.01883755933773
10863,C33,0
11425,C33,0.860633505846271
11633,C33,3.5509849198869
11779,C33,8.79196402053545
11809,C33,0
12343,C33,65.7956825987407
12923,C33,19.581360309944
13536,C33,4.08596288051979
13775,C33,1.04842329704859
15298,C33,43.0752242926156
15401,C33,30.7309361438314
17187,C33,3.32688192053596
152,Wt,104.44713922704982
394,Wt,238.95470686375293
972,Wt,368.90695599364653
1231,Wt,266.878873944977
1599,Wt,315.4364802755824
1600,Wt,172.35716069623442
2063,Wt,152.81645155006507
3757,Wt,734.907536469366
4729,Wt,438.0488844424136
6441,Wt,436.60770092576183
8633,Wt,493.0048001259515
9107,Wt,89.41524437548492
9539,Wt,591.0322535603824
10062,Wt,295.6404614314384
10236,Wt,492.0815798581074
10299,Wt,103.3684301018755
10863,Wt,258.5593967517399
11425,Wt,87.50133697527313
11633,Wt,195.85751748509654
11779,Wt,1054.1520259663114
11809,Wt,119.66639703083366
12343,Wt,740.9812488982595
12923,Wt,192.06811984120282
13536,Wt,420.5811523217165
13775,Wt,108.02386937492982
15298,Wt,355.34914245403894
15401,Wt,533.0454050203797
17187,Wt,57.44252116592093
152,ACL,30.29286096990305
394,ACL,29.14432790089402
972,ACL,29.078569420908003
1231,ACL,29.24229476983061
1599,ACL,29.718549254097237
1600,ACL,29.803811249524944
2063,ACL,29.979388901323365
3757,ACL,29.035958942016144
4729,ACL,29.444677807628235
6441,ACL,28.9820342985212
8633,ACL,28.98072005841399
9107,ACL,28.501643655489808
9539,ACL,28.831303242267317
10062,ACL,29.007046048616886
10236,ACL,29.120224511441197
10299,ACL,29.124575194542864
10863,ACL,29.115157480314963
11425,ACL,28.771443936542088
11633,ACL,29.06835584753577
11779,ACL,29.078362548483526
11809,ACL,28.416327537304227
12343,ACL,29.923664017240434
12923,ACL,30.28371236426395
13536,ACL,29.375233075846808
13775,ACL,28.921142761674044
15298,ACL,30.34669248030223
15401,ACL,29.612016289293944
17187,ACL,29.676860808624134
152,CPI,20.484710521958597
394,CPI,20.71710326520754
972,CPI,36.55756185155625
1231,CPI,29.89100478451861
1599,CPI,15.93739627996029
1600,CPI,13.355115291379516
2063,CPI,17.114694444359916
3757,CPI,29.15452992416827
4729,CPI,17.962278251705133
6441,CPI,19.514604810996577
8633,CPI,43.51934257705263
9107,CPI,12.233243967828432
9539,CPI,22.886577111356516
10062,CPI,19.013329417578653
10236,CPI,30.525175346457544
10299,CPI,7.1577237496717245
10863,CPI,15.847487001733096
11425,CPI,18.433705080545224
11633,CPI,22.956955389491462
11779,CPI,56.442481606376404
11809,CPI,11.373071528751757
12343,CPI,19.0488521812721
12923,CPI,20.154595260010502
13536,CPI,23.18856368091086
13775,CPI,11.217804551539485
15298,CPI,16.260078393751556
15401,CPI,16.335515459371198
17187,CPI,15.329998816167965
