median,Adesmia_sp,Baccharis_aff_tola,Brassicaceae_aff_mathewsia_nivea,Chenopodiaceae,Cistanthe_sp,Cristaria,Cryptantha_sp,Ephedra_breana,Fabiana_sp,Gilia_sp,Haplopappus_sp,Junellia_bryoides,Malvaceae,Phacelia_cuminingii,Phacelia_pinnatifida,Pappostipa_frigida,Ex,Lc,Total
152,0,0,0,0,3,0,3,1,0,1,2,5,0,1,3,0,0,19,19
394,1,0,0,0,4,0,1,3,0,2,0,5,0,2,0,0,1,17,18
972,3,0,0,0,4,0,2,3,0,1,0,5,2,3,1,0,5,19,24
1231,0,0,0,0,4,0,3,2,0,0,2,5,0,1,4,0,0,21,21
1599,3,0,0,5,0,0,0,1,0,0,2,4,4,0,0,0,12,7,19
1600,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,8,8
2063,0,0,0,0,4,0,1,2,0,0,0,5,0,0,0,0,0,12,12
3757,0,0,0,0,4,3,0,3,2,2,0,5,5,3,1,0,10,18,28
4729,1,0,0,0,0,0,0,3,0,1,0,5,0,0,0,0,1,9,10
6441,0,0,0,0,5,2,1,2,0,0,0,1,4,2,2,0,6,13,19
8633,0,0,0,0,4,0,0,0,0,1,0,0,1,5,0,0,1,10,11
9107,1,0,0,0,0,3,1,5,0,0,0,3,0,0,0,0,4,9,13
9539,1,0,0,0,4,3,3,4,0,4,0,0,5,3,5,0,9,23,32
10062,3,0,0,0,4,0,1,0,3,5,0,0,1,0,4,0,7,14,21
10236,1,0,0,0,3,0,1,3,0,0,0,5,1,3,1,1,3,16,19
10299,0,0,0,0,5,0,1,0,0,0,0,4,0,0,0,0,0,10,10
10863,4,3,3,0,3,2,0,3,0,0,0,1,0,5,3,4,16,15,31
11425,1,0,0,0,1,0,0,3,0,0,4,0,0,5,3,0,1,16,17
11633,5,0,0,0,1,0,0,0,0,0,0,0,0,3,1,4,9,5,14
11779,1,0,0,0,3,0,0,3,0,0,0,3,2,4,2,5,8,15,23
11809,4,0,1,0,0,0,0,1,0,0,0,2,0,0,0,5,10,3,13
12343,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,8,8
12923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13536,0,0,0,0,3,0,0,3,0,0,0,0,1,5,0,0,1,11,12
13775,2,0,0,0,1,0,0,4,0,0,0,5,0,0,0,3,5,10,15
15298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15401,1,0,0,4,3,0,0,2,0,2,1,3,2,3,0,5,12,14,26
17187,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,6,7
