age,macro,abn
152,Adesmia sp.,0
394,Adesmia sp.,1
972,Adesmia sp.,3
1231,Adesmia sp.,0
1599,Adesmia sp.,3
1600,Adesmia sp.,0
2063,Adesmia sp.,0
3757,Adesmia sp.,0
4729,Adesmia sp.,1
6441,Adesmia sp.,0
8633,Adesmia sp.,0
9107,Adesmia sp.,1
9539,Adesmia sp.,1
10062,Adesmia sp.,3
10236,Adesmia sp.,1
10299,Adesmia sp.,0
10863,Adesmia sp.,4
11425,Adesmia sp.,1
11633,Adesmia sp.,5
11779,Adesmia sp.,1
11809,Adesmia sp.,4
12343,Adesmia sp.,0
12923,Adesmia sp.,NA
13536,Adesmia sp.,0
13775,Adesmia sp.,2
15298,Adesmia sp.,NA
15401,Adesmia sp.,1
17187,Adesmia sp.,1
152,Baccharis aff. tola,0
394,Baccharis aff. tola,0
972,Baccharis aff. tola,0
1231,Baccharis aff. tola,0
1599,Baccharis aff. tola,0
1600,Baccharis aff. tola,0
2063,Baccharis aff. tola,0
3757,Baccharis aff. tola,0
4729,Baccharis aff. tola,0
6441,Baccharis aff. tola,0
8633,Baccharis aff. tola,0
9107,Baccharis aff. tola,0
9539,Baccharis aff. tola,0
10062,Baccharis aff. tola,0
10236,Baccharis aff. tola,0
10299,Baccharis aff. tola,0
10863,Baccharis aff. tola,3
11425,Baccharis aff. tola,0
11633,Baccharis aff. tola,0
11779,Baccharis aff. tola,0
11809,Baccharis aff. tola,0
12343,Baccharis aff. tola,0
12923,Baccharis aff. tola,NA
13536,Baccharis aff. tola,0
13775,Baccharis aff. tola,0
15298,Baccharis aff. tola,NA
15401,Baccharis aff. tola,0
17187,Baccharis aff. tola,0
152,Brassicaceae aff. mathewsia nivea,0
394,Brassicaceae aff. mathewsia nivea,0
972,Brassicaceae aff. mathewsia nivea,0
1231,Brassicaceae aff. mathewsia nivea,0
1599,Brassicaceae aff. mathewsia nivea,0
1600,Brassicaceae aff. mathewsia nivea,0
2063,Brassicaceae aff. mathewsia nivea,0
3757,Brassicaceae aff. mathewsia nivea,0
4729,Brassicaceae aff. mathewsia nivea,0
6441,Brassicaceae aff. mathewsia nivea,0
8633,Brassicaceae aff. mathewsia nivea,0
9107,Brassicaceae aff. mathewsia nivea,0
9539,Brassicaceae aff. mathewsia nivea,0
10062,Brassicaceae aff. mathewsia nivea,0
10236,Brassicaceae aff. mathewsia nivea,0
10299,Brassicaceae aff. mathewsia nivea,0
10863,Brassicaceae aff. mathewsia nivea,3
11425,Brassicaceae aff. mathewsia nivea,0
11633,Brassicaceae aff. mathewsia nivea,0
11779,Brassicaceae aff. mathewsia nivea,0
11809,Brassicaceae aff. mathewsia nivea,1
12343,Brassicaceae aff. mathewsia nivea,0
12923,Brassicaceae aff. mathewsia nivea,NA
13536,Brassicaceae aff. mathewsia nivea,0
13775,Brassicaceae aff. mathewsia nivea,0
15298,Brassicaceae aff. mathewsia nivea,NA
15401,Brassicaceae aff. mathewsia nivea,0
17187,Brassicaceae aff. mathewsia nivea,0
152,Chenopodiaceae,0
394,Chenopodiaceae,0
972,Chenopodiaceae,0
1231,Chenopodiaceae,0
1599,Chenopodiaceae,5
1600,Chenopodiaceae,0
2063,Chenopodiaceae,0
3757,Chenopodiaceae,0
4729,Chenopodiaceae,0
6441,Chenopodiaceae,0
8633,Chenopodiaceae,0
9107,Chenopodiaceae,0
9539,Chenopodiaceae,0
10062,Chenopodiaceae,0
10236,Chenopodiaceae,0
10299,Chenopodiaceae,0
10863,Chenopodiaceae,0
11425,Chenopodiaceae,0
11633,Chenopodiaceae,0
11779,Chenopodiaceae,0
11809,Chenopodiaceae,0
12343,Chenopodiaceae,0
12923,Chenopodiaceae,NA
13536,Chenopodiaceae,0
13775,Chenopodiaceae,0
15298,Chenopodiaceae,NA
15401,Chenopodiaceae,4
17187,Chenopodiaceae,0
152,Cistanthe sp.,3
394,Cistanthe sp.,4
972,Cistanthe sp.,4
1231,Cistanthe sp.,4
1599,Cistanthe sp.,0
1600,Cistanthe sp.,0
2063,Cistanthe sp.,4
3757,Cistanthe sp.,4
4729,Cistanthe sp.,0
6441,Cistanthe sp.,5
8633,Cistanthe sp.,4
9107,Cistanthe sp.,0
9539,Cistanthe sp.,4
10062,Cistanthe sp.,4
10236,Cistanthe sp.,3
10299,Cistanthe sp.,5
10863,Cistanthe sp.,3
11425,Cistanthe sp.,1
11633,Cistanthe sp.,1
11779,Cistanthe sp.,3
11809,Cistanthe sp.,0
12343,Cistanthe sp.,0
12923,Cistanthe sp.,NA
13536,Cistanthe sp.,3
13775,Cistanthe sp.,1
15298,Cistanthe sp.,NA
15401,Cistanthe sp.,3
17187,Cistanthe sp.,0
152,Cristaria,0
394,Cristaria,0
972,Cristaria,0
1231,Cristaria,0
1599,Cristaria,0
1600,Cristaria,0
2063,Cristaria,0
3757,Cristaria,3
4729,Cristaria,0
6441,Cristaria,2
8633,Cristaria,0
9107,Cristaria,3
9539,Cristaria,3
10062,Cristaria,0
10236,Cristaria,0
10299,Cristaria,0
10863,Cristaria,2
11425,Cristaria,0
11633,Cristaria,0
11779,Cristaria,0
11809,Cristaria,0
12343,Cristaria,0
12923,Cristaria,NA
13536,Cristaria,0
13775,Cristaria,0
15298,Cristaria,NA
15401,Cristaria,0
17187,Cristaria,0
152,Cryptantha sp.,3
394,Cryptantha sp.,1
972,Cryptantha sp.,2
1231,Cryptantha sp.,3
1599,Cryptantha sp.,0
1600,Cryptantha sp.,3
2063,Cryptantha sp.,1
3757,Cryptantha sp.,0
4729,Cryptantha sp.,0
6441,Cryptantha sp.,1
8633,Cryptantha sp.,0
9107,Cryptantha sp.,1
9539,Cryptantha sp.,3
10062,Cryptantha sp.,1
10236,Cryptantha sp.,1
10299,Cryptantha sp.,1
10863,Cryptantha sp.,0
11425,Cryptantha sp.,0
11633,Cryptantha sp.,0
11779,Cryptantha sp.,0
11809,Cryptantha sp.,0
12343,Cryptantha sp.,0
12923,Cryptantha sp.,NA
13536,Cryptantha sp.,0
13775,Cryptantha sp.,0
15298,Cryptantha sp.,NA
15401,Cryptantha sp.,0
17187,Cryptantha sp.,0
152,Ephedra breana,1
394,Ephedra breana,3
972,Ephedra breana,3
1231,Ephedra breana,2
1599,Ephedra breana,1
1600,Ephedra breana,0
2063,Ephedra breana,2
3757,Ephedra breana,3
4729,Ephedra breana,3
6441,Ephedra breana,2
8633,Ephedra breana,0
9107,Ephedra breana,5
9539,Ephedra breana,4
10062,Ephedra breana,0
10236,Ephedra breana,3
10299,Ephedra breana,0
10863,Ephedra breana,3
11425,Ephedra breana,3
11633,Ephedra breana,0
11779,Ephedra breana,3
11809,Ephedra breana,1
12343,Ephedra breana,3
12923,Ephedra breana,NA
13536,Ephedra breana,3
13775,Ephedra breana,4
15298,Ephedra breana,NA
15401,Ephedra breana,2
17187,Ephedra breana,0
152,Fabiana sp.,0
394,Fabiana sp.,0
972,Fabiana sp.,0
1231,Fabiana sp.,0
1599,Fabiana sp.,0
1600,Fabiana sp.,0
2063,Fabiana sp.,0
3757,Fabiana sp.,2
4729,Fabiana sp.,0
6441,Fabiana sp.,0
8633,Fabiana sp.,0
9107,Fabiana sp.,0
9539,Fabiana sp.,0
10062,Fabiana sp.,3
10236,Fabiana sp.,0
10299,Fabiana sp.,0
10863,Fabiana sp.,0
11425,Fabiana sp.,0
11633,Fabiana sp.,0
11779,Fabiana sp.,0
11809,Fabiana sp.,0
12343,Fabiana sp.,0
12923,Fabiana sp.,NA
13536,Fabiana sp.,0
13775,Fabiana sp.,0
15298,Fabiana sp.,NA
15401,Fabiana sp.,0
17187,Fabiana sp.,0
152,Gilia sp.,1
394,Gilia sp.,2
972,Gilia sp.,1
1231,Gilia sp.,0
1599,Gilia sp.,0
1600,Gilia sp.,0
2063,Gilia sp.,0
3757,Gilia sp.,2
4729,Gilia sp.,1
6441,Gilia sp.,0
8633,Gilia sp.,1
9107,Gilia sp.,0
9539,Gilia sp.,4
10062,Gilia sp.,5
10236,Gilia sp.,0
10299,Gilia sp.,0
10863,Gilia sp.,0
11425,Gilia sp.,0
11633,Gilia sp.,0
11779,Gilia sp.,0
11809,Gilia sp.,0
12343,Gilia sp.,0
12923,Gilia sp.,NA
13536,Gilia sp.,0
13775,Gilia sp.,0
15298,Gilia sp.,NA
15401,Gilia sp.,2
17187,Gilia sp.,0
152,Haplopappus sp.,2
394,Haplopappus sp.,0
972,Haplopappus sp.,0
1231,Haplopappus sp.,2
1599,Haplopappus sp.,2
1600,Haplopappus sp.,0
2063,Haplopappus sp.,0
3757,Haplopappus sp.,0
4729,Haplopappus sp.,0
6441,Haplopappus sp.,0
8633,Haplopappus sp.,0
9107,Haplopappus sp.,0
9539,Haplopappus sp.,0
10062,Haplopappus sp.,0
10236,Haplopappus sp.,0
10299,Haplopappus sp.,0
10863,Haplopappus sp.,0
11425,Haplopappus sp.,4
11633,Haplopappus sp.,0
11779,Haplopappus sp.,0
11809,Haplopappus sp.,0
12343,Haplopappus sp.,0
12923,Haplopappus sp.,NA
13536,Haplopappus sp.,0
13775,Haplopappus sp.,0
15298,Haplopappus sp.,NA
15401,Haplopappus sp.,1
17187,Haplopappus sp.,0
152,Junellia bryoides,5
394,Junellia bryoides,5
972,Junellia bryoides,5
1231,Junellia bryoides,5
1599,Junellia bryoides,4
1600,Junellia bryoides,5
2063,Junellia bryoides,5
3757,Junellia bryoides,5
4729,Junellia bryoides,5
6441,Junellia bryoides,1
8633,Junellia bryoides,0
9107,Junellia bryoides,3
9539,Junellia bryoides,0
10062,Junellia bryoides,0
10236,Junellia bryoides,5
10299,Junellia bryoides,4
10863,Junellia bryoides,1
11425,Junellia bryoides,0
11633,Junellia bryoides,0
11779,Junellia bryoides,3
