"Belts","wax","index","N","values","sd","se","ci"
"Coastal","FAMEs","ACL",6,26.3917781013682,1.70418068668261,0.695728851979709,1.78842794942714
"Coastal","n-Alkanes","ACL",7,28.3415956864286,0.912696975708292,0.3449670314407,0.844103917486548
"Hyperarid Desert","FAMEs","ACL",5,24.7510673570048,1.61104091574109,0.720479400426119,2.00037150470894
"Hyperarid Desert","n-Alkanes","ACL",5,28.539386791559,1.04512816464874,0.467395524270833,1.29769801555311
"Prepuna","FAMEs","ACL",9,26.9283432783904,2.36242048276682,0.787473494255607,1.8159171341171
"Prepuna","n-Alkanes","ACL",11,27.9161725517194,1.20359474309006,0.362897469315813,0.80858595067006
"Puna","FAMEs","ACL",8,26.8096570493496,1.6993465932023,0.600809749819803,1.4206893050173
"Puna","n-Alkanes","ACL",9,28.1590997933251,1.60301903176053,0.53433967725351,1.23218950535025
"Steppe","FAMEs","ACL",1,28.248510785958,NA,NA,NA
"Steppe","n-Alkanes","ACL",2,28.3939092874478,1.84445643126964,1.3042276501539,16.5717835454355
"Surface Sediment","FAMEs","ACL",3,24.2411410875509,0.0543038006367584,0.0313523139156522,0.134898119053143
"Surface Sediment","n-Alkanes","ACL",6,26.1530816707119,0.735822269180168,0.300398183478044,0.772198113906805
